main_category,currency,goal,pledged,backers,country,date_diff
Technology,USD,10000.0,13855.0,88.0,US,30.0
Art,AUD,5000.0,1306.15,39.0,US,50.0
Comics,MXN,125000.0,34080.39,30.0,MX,35.0
Crafts,SGD,2460.0,1026.0,30.0,SG,30.0
Photography,EUR,7000.0,9222.0,133.0,FR,30.0
